2024-12-05 07:15:18 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 54 of event: perok to the pool. Ticket number in the batch: 4
2024-12-05 07:15:20 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: perok for Vendor: abod123
2024-12-05 07:15:20 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 55 of event: perok to the pool. Ticket number in the batch: 5
2024-12-05 07:15:22 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: perok for Vendor: abod123
2024-12-05 07:15:22 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 56 of event: perok to the pool. Ticket number in the batch: 6
2024-12-05 07:15:24 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: perok for Vendor: abod123
2024-12-05 07:15:24 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 57 of event: perok to the pool. Ticket number in the batch: 7
2024-12-05 07:15:26 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: perok for Vendor: abod123
2024-12-05 07:15:26 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 58 of event: perok to the pool. Ticket number in the batch: 8
2024-12-05 07:15:29 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: perok for Vendor: abod123
2024-12-05 07:15:29 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 59 of event: perok to the pool. Ticket number in the batch: 9
2024-12-05 07:15:31 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: perok for Vendor: abod123
2024-12-05 07:15:31 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 60 of event: perok to the pool. Ticket number in the batch: 10
2024-12-05 07:15:33 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: perok for Vendor: abod123
2024-12-05 07:15:33 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 61 of event: perok to the pool. Ticket number in the batch: 11
2024-12-05 07:15:35 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: perok for Vendor: abod123
2024-12-05 07:15:35 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 62 of event: perok to the pool. Ticket number in the batch: 12
2024-12-05 07:15:37 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: perok for Vendor: abod123
2024-12-05 07:15:37 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 63 of event: perok to the pool. Ticket number in the batch: 13
2024-12-05 07:15:39 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: perok for Vendor: abod123
2024-12-05 07:15:39 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 64 of event: perok to the pool. Ticket number in the batch: 14
2024-12-05 07:15:41 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: perok for Vendor: abod123
2024-12-05 07:15:41 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 65 of event: perok to the pool. Ticket number in the batch: 15
2024-12-05 07:15:43 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Thread:59 for vendor with ID:abod123 finished executing
2024-12-05 07:15:43 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Thread completed for Vendor ID: abod123 (Thread ID: 59)
2024-12-05 08:02:52 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Thread started for Vendor ID: ABCD123 with ticket batch size: 10 (Thread ID: 59)
2024-12-05 08:02:52 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: golo for Vendor: ABCD123
2024-12-05 08:02:53 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 66 of event: golo to the pool. Ticket number in the batch: 1
2024-12-05 08:02:55 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: golo for Vendor: ABCD123
2024-12-05 08:02:55 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 67 of event: golo to the pool. Ticket number in the batch: 2
2024-12-05 08:02:57 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: golo for Vendor: ABCD123
2024-12-05 08:02:57 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 68 of event: golo to the pool. Ticket number in the batch: 3
2024-12-05 08:02:59 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Processing ticket with event name: golo for Vendor: ABCD123
2024-12-05 08:02:59 [Thread-8] INFO  c.h.ticketing_system.model.Vendor - Successfully added ticket ID: 69 of event: golo to the pool. Ticket number in the batch: 4
